wl,n,k
0.321100677,2.666481,0.26876700000000003
0.322690796,2.655679,0.248073
0.324280914,2.644215,0.228384
0.325871063,2.632155,0.20972600000000002
0.327461243,2.61957,0.192128
0.329051453,2.606534,0.175617
0.330641693,2.593136,0.160223
0.332231964,2.579486,0.145972
0.333822235,2.565728,0.13284300000000002
0.335412537,2.551962,0.120769
0.337002869,2.538259,0.10968399999999999
0.338593231,2.524676,0.09952799999999999
0.340183594,2.51126,0.090244
0.34177398700000006,2.498048,0.081777
0.34336441,2.485074,0.074073
0.344954865,2.472364,0.067082
0.346545319,2.459942,0.060756
0.34813580299999997,2.447826,0.055046000000000005
0.349726288,2.436032,0.049908
0.35131683300000005,2.424571,0.045297000000000004
0.35290734900000004,2.413453,0.04117
0.354497894,2.402682,0.037485000000000004
0.35608850099999995,2.392262,0.034203
0.35767910799999997,2.38219,0.031284
0.359269714,2.372464,0.028689
0.360860352,2.3630720000000003,0.026382999999999997
0.362450989,2.353997,0.024336
0.364041687,2.345223,0.022529
0.365632385,2.3367419999999997,0.020949000000000002
0.367223083,2.328545,0.019578
0.368813782,2.320627,0.018403
0.370404541,2.312982,0.017408
0.3719953,2.305604,0.016579
0.37358606000000005,2.2984869999999997,0.015902
0.375176849,2.291627,0.015364
0.37676763900000004,2.285018,0.014950999999999999
0.378358459,2.278654,0.014652000000000002
0.37994931000000004,2.272529,0.014453
0.381540161,2.266637,0.014343
0.383131042,2.260973,0.014311
0.38472189300000004,2.255529,0.014344999999999998
0.386312805,2.2503,0.014435
0.387903687,2.245277,0.01457
0.38949459799999997,2.240453,0.014740999999999999
0.39108551,2.235821,0.014937
0.392676453,2.2313709999999998,0.01515
0.394267426,2.2270939999999997,0.015371000000000001
0.395858398,2.222979,0.015590999999999999
0.397449371,2.21901,0.015806999999999998
0.399040344,2.215179,0.016019
0.400631348,2.211477,0.016225
0.402222351,2.207896,0.016425
0.40381338499999997,2.204431,0.016619
0.405404388,2.201075,0.016807
0.406995422,2.197823,0.016988
0.40858648700000005,2.19467,0.017161000000000003
0.410177551,2.191612,0.017327000000000002
0.41176861600000003,2.188643,0.017486
0.41335967999999995,2.185762,0.017636000000000002
0.41495074500000007,2.182963,0.017777
0.41654184,2.180244,0.01791
0.41813290399999997,2.1776,0.018034
0.41972402999999997,2.175029,0.018149000000000002
0.421315125,2.172527,0.018254
0.42290625,2.170093,0.018349
0.42449737499999995,2.167722,0.018435
0.42608853099999994,2.165413,0.01851
0.427679626,2.163162,0.018576
0.429270813,2.160968,0.018631
0.430861908,2.1588279999999997,0.018675
0.432453064,2.15674,0.018709
0.43404424999999996,2.1547009999999998,0.018732
0.435635345,2.152709,0.018744
0.437226501,2.150763,0.018744999999999998
0.438817688,2.148858,0.018734999999999998
0.440408844,2.146994,0.018713999999999998
0.442000061,2.145168,0.018684
0.443591217,2.143378,0.018645
0.445182373,2.141623,0.018597
0.446773529,2.139902,0.018541
0.44836468499999993,2.138213,0.018477
0.44995590199999996,2.136555,0.018407
0.451547058,2.1349259999999997,0.018328999999999998
0.45313824500000005,2.133326,0.018244999999999997
0.45472943099999996,2.131753,0.018155
0.45632061799999996,2.130207,0.01806
0.45791177400000005,2.128686,0.01796
0.459502991,2.12719,0.017855000000000003
0.46109414699999995,2.125717,0.017746
0.46268530300000005,2.124268,0.017633000000000003
0.464276459,2.122841,0.017516
0.46586767599999995,2.121435,0.017396000000000002
0.46745883200000005,2.12005,0.017273
0.469049988,2.118686,0.017148
0.47064117400000005,2.117342,0.017021
0.47223233,2.116016,0.016891
0.47382348600000007,2.1147099999999996,0.01676
0.475414642,2.1134209999999998,0.016627
0.477005768,2.11215,0.016493
0.478596924,2.110897,0.016359000000000002
0.48018807999999996,2.10966,0.016224000000000002
0.481779205,2.1084400000000003,0.016087999999999998
0.4833703,2.107237,0.015952
0.484961487,2.106049,0.015816
0.486552582,2.104877,0.015681
0.488143707,2.10372,0.015546
0.48973480199999997,2.102579,0.015411000000000001
0.491325867,2.101453,0.015277
0.492916992,2.100342,0.015144
0.494508057,2.099246,0.015012000000000001
0.496099182,2.098164,0.01488
0.497690247,2.097097,0.014747999999999999
0.499281311,2.096044,0.014618
0.500872314,2.095004,0.014487
0.502463379,2.093979,0.014358000000000001
0.5040543820000001,2.092967,0.014228
0.505645416,2.091968,0.0141
0.50723642,2.090982,0.013971
0.508827454,2.090008,0.013843000000000001
0.510418457,2.0890470000000003,0.013715999999999999
0.512009399,2.088099,0.013588999999999999
0.513600403,2.0871619999999997,0.013462
0.5151913450000001,2.086237,0.013336
0.516782288,2.085324,0.01321
0.51837323,2.084422,0.013084
0.519964172,2.0835310000000002,0.012959
0.521555054,2.082651,0.012834
0.5231459350000001,2.081782,0.012709
0.5247368769999999,2.080924,0.012584999999999999
0.5263277590000001,2.080075,0.012461
0.527918579,2.079237,0.012337
0.529509399,2.078409,0.012214000000000001
0.53110022,2.0775900000000003,0.012091
0.53269104,2.076782,0.011968000000000001
0.5342818599999999,2.0759819999999998,0.011845
0.535872681,2.075191,0.011722
0.5374633790000001,2.07441,0.0116
0.539054138,2.0736380000000003,0.011478
0.5406448970000001,2.072874,0.011356
